,Q1,,,Q2,,,Q3,,,Q4,,
,Facebook Ads - 2022,,,,,,,,,,,
Month,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022
Link clicks,,657,729,426,415,652,494,455,411,392,363,407
Impressions,,"77,242","104,494","56,083","57,231","50,037","73,600","56,119","42,848","40,479","39,841","45,803"
Amount spent,,463,567,344,344,344,344,344,344,344,344,344
Reach,,"27,262","35,929","24,136","22,488","21,332","26,848","21,244","16,160","15,508","14,248","15,388"
CPC (link),,0.71,0.78,0.81,0.83,0.53,0.7,0.75,0.84,0.88,0.95,0.84
CTR (link click-through rate),,0.90%,0.70%,0.80%,0.70%,1.30%,0.70%,0.80%,1.00%,1.00%,0.90%,0.90%
Post reactions,,63,45,31,5,28,29,37,18,9,20,18
,,,,,,,,,,,,
,,,,,,,,,,,,
,Facebook Ads - 2023,,,,,,,,,,,
Month,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023
Link clicks,536,505,448,477,472,435,547,603,107,254,0,576
Impressions,"64,018","60,529","69,657","74,967","79,918","75,406","79,389","106,515","17,350","57,331",0,"116,816"
Amount spent,344,344,344,344,344,344,344,344,91,161,0,344
Reach,"19,992","19,472","20,232","21,660","23,288","23,553","20,104","20,281","6,920","10,491",0,"22,265"
CPC (link),0.64,0.68,0.77,0.72,0.73,0.79,0.63,0.57,0.85,0.63,0,0.6
CTR (link click-through rate),0.80%,0.80%,0.60%,0.60%,0.60%,0.60%,0.70%,0.60%,0.60%,0.40%,0.00%,0.50%
Post reactions,11,10,10,11,11,14,10,14,11,8,0,12
,,,,,,,,,,,,
,,,,,,,,,,,,
,Facebook Ads - 2024,,,,,,,,,,,
Month,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
Link clicks,763,651,550,612,614,760,830,772,709,845,672,713
Impressions,"194,735","144,124","130,081","104,679","104,423","182,466","212,767","216,037","180,335","191,820","133,464",139912
Amount spent,344,344,344,344,344,344,344,343,343,343,343,343.49
Reach,"28,102","32,020","34,154","29,611","25,605","27,823","30,193","28,254","24,060","28,727","24,912",19839
CPC (link),0.45,0.53,0.62,$0.56,$0.56,$0.45,$0.41,$0.44,$0.48,$0.41,$0.51,0.48
CTR (link click-through rate),0.40%,0.50%,0.40%,0.60%,0.60%,0.40%,0.40%,0.40%,0.40%,0.40%,0.5,0.51
Post reactions,13,23,28,18,22,25,14,12,7,13,24,21
,,,,,,,,,,,,
,,,,,,,,,,,,
,Facebook Ads - 2025,,,,,,,,,,,
Month,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025
Link clicks,940,853,850,843,817,738,827,780,791,,,
Impressions,"207,563","195,433","204,943","190,796",180039,"84,283","79,971","71,474","77,957",,,
Amount spent,359,328,343,343.44,343.47,343.5,343.46,343.43,343.44,,,
Reach,"28,454","24,488","20,216","20,789","18,855","16,132","17,398","16,300","18,346",,,
CPC (link),0.38,0.38,0.4,$0.41,$0.42,$0.47,$0.42,$0.44,$0.43,,,
CTR (link click-through rate),0.45%,0.44%,0.41%,0.44%,0.45%,0.88%,1.03%,1.09%,1.01%,,,
Post reactions,34,28,52,41,43,24,33,26,22,,,
,,,,,,,,,,,,
,Q1,,,Q2,,,Q3,,,Q4,,
,Google Ads - 2021,,,,,,,,,,,
Month,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021
Clicks,"22,032","39,634","30,341","12,902","15,603","17,916","18,803","18,298","14,810","16,148","12,735","11,457"
Impressions,"1,552,673","1,909,081","1,802,028","2,495,348","3,790,901","8,158,283","6,151,329","5,483,539","4,039,348","4,599,652","2,907,684","3,197,622"
Cost,"$1,760.72","$2,410.76","$2,669.40","$2,816.77","$2,905.70","$2,441.74","$2,534.26","$2,535.33","$2,477.01","$2,533.89","$2,536.00","$2,305.81"
Avg. CPC,$0.08,$0.06,$0.09,$0.22,$0.19,$0.14,$0.13,$0.14,$0.17,$0.16,$0.20,$0.20
CTR,1.40%,2.10%,1.70%,0.50%,0.40%,0.20%,0.30%,0.30%,0.40%,0.40%,0.40%,0.40%
,,,,,,,,,,,,
,Google Ads - 2022,,,,,,,,,,,
Month,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022
Clicks,"1,710","1,964","2,195","2,275","2,082","2,360","2,708","2,800","2,415","2,491","2,476","2,569"
Impressions,"261,564","345,729","354,246","419,611","365,723","419,297","429,469","507,097","521,303","568,093","431,478","429,841"
Cost,$250.89,$331.68,$366.75,$365.61,$329.41,$344.54,$348.83,$348.81,$342.51,$345.86,$337.56,$348.26
Avg. CPC,$0.15,$0.17,$0.17,$0.16,$0.16,$0.15,$0.13,$0.12,$0.14,$0.14,$0.14,$0.14
CTR,0.70%,0.60%,0.60%,0.50%,0.60%,0.60%,0.60%,0.60%,0.50%,0.40%,0.60%,0.60%
,,,,,,,,,,,,
,,,,,,,,,,,,
,Google Ads - 2023,,,,,,,,,,,
Month,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023
Clicks,"3,816","3,276","3,055","2,992","3,129","2,960","3,061","2,811","2,706","2,622","2,335","2,423"
Impressions,"754,441","565,691","433,491","350,609","202,393","223,866","311,762","413,859","266,930","257,193","183,731","200,838"
Cost,$336.89,$349.17,$349.23,$335.57,$349.96,$348.44,$331.31,$326.76,$326.35,$327.36,$322.00,$326.35
Avg. CPC,$0.09,$0.11,$0.11,$0.11,$0.11,$0.12,$0.11,$0.12,$0.12,$0.12,$0.14,$0.13
CTR,0.50%,0.60%,0.70%,0.90%,1.50%,1.30%,1.00%,0.70%,1.00%,1.00%,1.30%,1.20%
,,,,,,,,,,,,
,Google Ads - 2024,,,,,,,,,,,
Month,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
Clicks,"3,330","2,866","2,878","3,250","3,080","2,789","3,392","3,740","3,652","3,695","3,195","2,864"
Impressions,"270,398","374,028","313,161","226,806","427,026","370,785","309,621","306,757","298,531","245,207","230,977","320,834"
Cost,$340.85,$335.13,$328.38,$331.38,$335.87,$327.37,$334.41,$342.76,$349.63,$339.27,$348.56,$344.62
Avg. CPC,$0.10,$0.12,$0.11,$0.10,$0.11,$0.12,$0.10,$0.09,$0.10,$0.09,$0.11,$0.12
CTR,1.20%,0.80%,0.90%,1.40%,0.70%,0.80%,1.10%,1.20%,1.20%,1.50%,1.38%,0.89%
,,,,,,,,,,,,
,Google Ads - 2024,,,,,,,,,,,
Month,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025
Clicks,"3,659","3,482","3,806","3,526","3,242","3,379","3,280","2,834","2,940",,,
Impressions,"319,663","394,404","393,309","795,417","577,420","678,438","495,654","394,297","440,997",,,
