,Q1,,,Q2,,,Q3,,,Q4,,
,Facebook Ads - 2022,,,,,,,,,,,
Month,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022
Link clicks,12,0,"3,025","2,692","3,380","3,024","4,148","4,093","2,347","3,111","2,301","2,868"
Impressions,"5,914",0,"234,776","257,364","243,306","141,220","306,713","332,395","223,749","216,053","282,702","359,613"
Amount spent,296,0,"2,500","2,500","2,500","2,500","3,037","2,963","2,250","2,500","2,375","2,000"
Reach,"3,330",0,"92,993","85,823","94,560","62,880","133,088","151,041","107,007","119,041","129,921","117,984"
CPC (link),$0.43,$0.50,0.61,0.62,0.63,0.63,0.81,0.66,0.96,0.56,1.03,0.47
CTR (link click-through rate),0.20%,0.00%,1.30%,1.00%,1.40%,2.10%,1.40%,1.20%,1.00%,1.40%,0.80%,0.80%
Post reactions,4,0,71,82,79,88,272,663,390,321,261,72
,,,,,,,,,,,,
,,,,,,,,,,,,
,Facebook Ads - 2023,,,,,,,,,,,
Month,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023
Link clicks,"4,548","5,047","3,606","4,412","4,293","4,976","2,654","3,705",0,"5,898",0,"6,683"
Impressions,"183,941","190,137","519,360","240,839","321,179","165,019","451,714","297,091",0,"188,329",0,"217,735"
Amount spent,"2,000","2,500","2,500","2,500","2,500","2,500","2,500","2,209",0,"2,500",0,"2,500"
Reach,"91,537","93,568","142,464","112,769","126,432","80,654","99,265","107,365",0,"86,691",0,"84,689"
CPC (link),0.41,0.5,0.54,0.53,0.56,0.5,0.94,0.6,0,0.42,0,0.37
CTR (link click-through rate),2.50%,2.70%,0.70%,1.80%,1.30%,3.00%,0.60%,1.20%,0.00%,3.10%,0.00%,3.10%
Post reactions,46,34,75,73,109,75,65,108,0,171,0,71
,,,,,,,,,,,,
,,,,,,,,,,,,
,Facebook Ads - 2024,,,,,,,,,,,
Month,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
Link clicks,"8,160","6,440","5,657","5,148","5,618","6,380","7,222","10,763","10,863","9,470",7333,7966
Impressions,"988,617","891,454","640,322","609,408","188,734","750,011","1,109,346","1,190,302","1,054,552","1,208,398","672,268",1503592
Amount spent,"3,221","3,219","2,500","2,578","2,536","3,850","4,000","4,999","4,343","4,343",3999.74,3999.4
Reach,"236,803","252,960","161,538","204,869","108,606","236,817","267,012","230,394","210,851","249,833","165,617",273028
CPC (link),0.39,0.5,0.44,0.5,$0.45,$0.60,$0.55,$0.46,$0.40,$0.46,0.55,0.5
CTR (link click-through rate),0.80%,0.70%,0.90%,0.80%,3.00%,0.90%,0.70%,0.90%,1.00%,0.80%,1.09,0.53
Post reactions,70,123,100,63,34,49,56,82,80,106,121,95
,,,,,,,,,,,,
,,,,,,,,,,,,
,Facebook Ads - 2025,,,,,,,,,,,
Month,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025
Link clicks,"10,489","8,111","8,208","8,949","6,889","8,968","2,299",853,115,,,
Impressions,"1,390,566","1,261,494","809,158","603,976","222,770","571,317","237,873","451,300","422,296",,,
Amount spent,"4,440","3,559","4,000","4,000","4,000","3,998","2,899","4,169","3,679",,,
Reach,"321,131","213,431","184,992","238,973","134,284","255,159","137,989","273,174","301,918",,,
CPC (link),0.42,0.44,0.49,0.45,$0.58,$0.45,$1.26,$4.89,$31.99,,,
CTR (link click-through rate),0.75%,0.64%,1.01%,1.48%,3.09%,1.57%,0.97%,0.19%,0.03%,,,
Post reactions,248,220,259,262,120,393,797,446,"4,476",,,
,,,,,,,,,,,,
,Q1,,,Q2,,,Q3,,,Q4,,
,Google Ads - 2022,,,,,,,,,,,
Month,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022
Clicks,"16,675","14,743","20,714","18,025","11,870","8,022","4,844","10,546","8,812","10,389","10,052","9,882"
Impressions,"6,751,776","4,492,784","6,477,700","4,547,812","2,830,779","1,932,211","951,902","2,376,656","2,171,325","2,519,495","2,209,333","2,351,169"
Cost,"$2,066.45","$2,108.62","$2,613.23","$4,249.88","$3,665.87","$2,150.44","$3,097.47","$5,013.09","$4,807.63","$4,934.71","$5,706.45","$4,642.37"
Avg. CPC,$0.12,$0.14,$0.13,$0.24,$0.31,$0.27,$0.64,$0.48,$0.55,$0.47,$0.57,$0.47
CTR,0.20%,0.30%,0.30%,0.40%,0.40%,0.40%,0.50%,0.40%,0.40%,0.40%,0.50%,0.40%
,,,,,,,,,,,,
,Google Ads - 2023,,,,,,,,,,,
Month,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023
Clicks,"14,170","11,748","13,740","10,866","10,106","10,359","12,234","10,370","1,635","12,251","16,947","8,212"
Impressions,"3,890,306","2,762,931","2,957,021","2,346,211","2,283,237","1,928,341","2,429,754","2,336,813","270,569","1,414,708","689,113","720,848"
Cost,"$2,961.75","$4,821.19","$5,627.85","$4,814.69","$5,049.54","$4,174.36","$4,917.99","$4,813.13",$983.81,"$5,462.67","$5,383.95","$3,390.72"
Avg. CPC,$0.21,$0.41,$0.41,$0.44,$0.50,$0.40,$0.40,$0.46,$0.60,$0.45,$0.32,$0.41
CTR,0.40%,0.40%,0.50%,0.50%,0.40%,0.50%,0.50%,0.40%,0.60%,0.90%,2.50%,1.10%
,,,,,,,,,,,,
,Google Ads - 2024,,,,,,,,,,,
Month,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
Clicks,"21,374","15,302","15,920","18,739","15,558","14,583","16,859","15,121","17,144","15,615","15,646","12,178"
Impressions,"1,457,015","1,254,830","969,115","1,053,707","983,945","1,684,803","1,619,911","2,516,410","1,897,152","1,701,740","2,269,625","2,223,559"
Cost,"$5,887.37","$5,269.90","$4,872.25","$5,342.30","$5,085.05","$6,430.48","$6,420.91","$8,842.83","$7,521.16","$7,652.80","$7,477.50","$7,517.10"
Avg. CPC,$0.28,$0.34,$0.31,$0.29,$0.33,$0.44,$0.38,$0.58,$0.44,$0.49,$0.48,$0.62
CTR,1.50%,1.20%,1.60%,1.80%,1.60%,0.90%,1.00%,0.60%,0.90%,0.90%,0.80%,0.55%
,,,,,,,,,,,,
,Google Ads - 2025,,,,,,,,,,,
Month,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025
Clicks,"19,480","15,148","14,689",11662,"12,303","11,937","17,162","14,503","15,297",,,
Impressions,"2,777,728","2,668,652","2,405,924","2,511,508","1,929,340","1,452,737","1,479,975","1,296,220","1,337,175",,,
Cost,"$7,539.57","$7,519.63","$7,598.55","$7,511.69","$7,500.82","$7,426.98","$7,591.78","$7,455.90","$7,455.17",,,
Avg. CPC,$0.39,$0.50,$0.52,$0.46,$0.61,$0.62,$0.44,$0.51,$0.49,,,
